ano,mes,hora,tipo_crime,bairro,latitude,longitude,qtd_ocorrencias
2024,2,18,Furto,Itaim Bibi,-23.580663,-46.675996,2
2024,10,0,Furto,Brás,-23.545736,-46.618073,1
2022,3,18,Furto de Veículo,Jardins,-23.577422,-46.663573,1
2022,6,20,Furto,Sé,-23.543013,-46.634925,1
2023,2,16,Homicídio,Cidade Tiradentes,-23.59826,-46.400837,2
2022,11,9,Roubo de Veículo,Moema,-23.594221,-46.676018,1
2024,6,7,Furto,Brás,-23.543602,-46.61533,1
2024,3,15,Furto,Consolação,-23.558618,-46.670584,1
2022,11,11,Furto de Veículo,Guaianazes,-23.549279,-46.371916,2
2022,4,21,Roubo,Brás,-23.537693,-46.632019,1
2024,8,6,Lesão Corporal,Sacomã,-23.594811,-46.580849,1
2024,7,12,Roubo,Sacomã,-23.609868,-46.593216,3
2022,11,7,Lesão Corporal,Sé,-23.563422,-46.632453,1
2023,9,20,Roubo,Brooklin,-23.627068,-46.686866,1
2024,6,5,Furto,Sacomã,-23.60113,-46.599028,1
2024,3,15,Furto,Guaianazes,-23.531342,-46.394676,1
2023,3,15,Furto,Itaim Bibi,-23.581813,-46.684987,2
2023,5,9,Furto,Campo Limpo,-23.626918,-46.755975,1
2024,3,6,Lesão Corporal,Santo Amaro,-23.639576,-46.703835,1
2022,9,19,Roubo,Campo Limpo,-23.635534,-46.739838,1
2024,8,6,Roubo,Sacomã,-23.606615,-46.582921,1
2022,12,17,Furto,Vila Guilherme,-23.517918,-46.616048,1
2024,8,8,Furto,Brasilândia,-23.43205,-46.697368,1
2023,4,4,Roubo de Veículo,Casa Verde,-23.511164,-46.662907,1
2024,11,4,Furto,Vila Guilherme,-23.526548,-46.604533,1
2023,3,13,Furto,Vila Guilherme,-23.509095,-46.61762,1
2024,2,2,Lesão Corporal,Lapa,-23.51633,-46.708014,3
2022,7,14,Lesão Corporal,São Miguel,-23.473072,-46.447537,1
2023,8,10,Homicídio,Itaquera,-23.528715,-46.451188,1
2022,5,8,Roubo,Sacomã,-23.594549,-46.601523,1
2023,9,22,Furto,Sacomã,-23.590563,-46.587406,1
2022,11,20,Furto,Brás,-23.559601,-46.619768,1
2022,7,17,Furto,Casa Verde,-23.51253,-46.663461,1
2023,7,6,Roubo,Santana,-23.500805,-46.615119,1
2024,10,23,Furto,Guaianazes,-23.53009,-46.398085,1
2022,6,10,Lesão Corporal,Pinheiros,-23.564775,-46.663471,1
2024,1,18,Lesão Corporal,Campo Limpo,-23.641446,-46.734259,1
2022,12,16,Furto,Casa Verde,-23.489942,-46.649055,1
2023,9,14,Furto de Veículo,Brooklin,-23.620091,-46.699287,3
